1	GSM772750	GSM772754	1	1
2	GSM772751	GSM772754	1	1
3	GSM772800	GSM772754	1	1
4	GSM772756	GSM772754	1	1
5	GSM772752	GSM772754	0	1
6	GSM997249	GSM772754	0	1
7	GSM1112829	GSM997248	0	1
8	GSM997247	GSM997248	1	1
9	GSM997253	GSM997248	1	1
10	GSM997254	GSM997248	1	1
11	GSM1112843	GSM997248	0	1
12	GSM997273	GSM997248	1	1
13	GSM1112824	GSM997248	0	1
14	GSM997221	GSM997248	0	1
15	GSM1112826	GSM997248	1	1
16	GSM1112825	GSM997248	0	1
17	GSM916062	GSM997272	1	1
18	GSM916068	GSM997272	1	1
19	GSM916070	GSM997272	1	1
20	GSM916063	GSM997272	0	1
21	GSM916067	GSM997272	1	1
22	GSM916068	GSM997270	1	1
23	GSM1112832	GSM997270	0	1
24	GSM916063	GSM997270	0	1
25	GSM916067	GSM997270	1	1
26	GSM1112831	GSM772913	0	1
27	GSM772977	GSM772913	1	1
28	GSM772912	GSM772913	1	1
29	GSM772971	GSM772913	1	1
30	GSM772978	GSM772913	0	1
31	GSM772856	GSM772913	1	1
32	GSM1112830	GSM772979	0	1
33	GSM773002	GSM772979	1	1
34	GSM1112805	GSM772979	1	1
35	GSM1112828	GSM772979	1	1
36	GSM916060	GSM772979	0	1
37	GSM1112775	GSM772754	0	1
38	GSM669974	GSM772754	1	1
39	GSM669932	GSM772754	1	1
40	GSM669966	GSM772754	1	1
41	GSM669967	GSM772754	0	1
42	GSM669928	GSM772754	1	1
